initiative_id,initiative_name,sponsor,initiative_owner,status,stage,start_date,target_date,value_hypothesis,dependent_ci_ids,dependent_contract_ids,policy_constraints,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
INIT-001,Contact Center AI Routing 1,EVP Digital and Technology,EHR Platform Engineering,Proposed,P1 Charter,2026-01-01,2026-06-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-EPIC-HYPERSPACE|CI-APP-WORKDAY-HCM,CON-EPIC-2026,POL-001|POL-004,Enterprise PMO,INIT-1,Enterprise PMO,2026-05-01,0.8,true,
INIT-002,Epic Hosting Modernization 1,Chief Financial Officer,Clinical Informatics,In Design,P2 Diagnose,2026-02-01,2026-07-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-EPIC-CABOODLE|CI-DATA-RESEARCH-LAKE,CON-SNOW-2026,POL-002|POL-005,Enterprise PMO,INIT-2,Enterprise PMO,2026-05-01,0.8,true,
INIT-003,Revenue Cycle Automation Controls 1,Chief Medical Officer,Integration Operations,Approved,P3 Design,2026-03-01,2026-08-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-INT-MIRTH|CI-PLAT-DATABRICKS,CON-ORACLE-2026,POL-003|POL-006,Enterprise PMO,INIT-3,Enterprise PMO,2026-05-01,0.8,true,
INIT-004,Research Secure Workspace Expansion 1,Chief Data and Analytics Officer,Revenue Cycle Technology,In Flight,P4 Roadmap,2026-04-01,2026-09-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-CONTACT-CENTER|CI-WH-SNOWFLAKE,CON-SALESFORCE-2026,POL-004|POL-007,Enterprise PMO,INIT-4,Enterprise PMO,2026-05-01,0.8,true,
INIT-005,Clinical Integration Reliability 1,EVP Digital and Technology,Contact Center Technology,Proposed,P1 Charter,2026-05-01,2026-10-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-SALESFORCE-HEALTH|CI-SEC-OKTA,CON-GENESYS-2026,POL-005|POL-008,Enterprise PMO,INIT-5,Enterprise PMO,2026-05-01,0.8,true,
INIT-006,Cloud Cost Transparency 1,Chief Financial Officer,Cloud Platform Services,In Design,P2 Diagnose,2026-06-01,2026-11-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-SERVICENOW|CI-SEC-IMPRIVATA,CON-MICROSOFT-2026,POL-006|POL-009,Enterprise PMO,INIT-6,Enterprise PMO,2026-05-01,0.8,true,
INIT-007,Payer Platform Data Modernization 1,Chief Medical Officer,Research Technology Office,Approved,P3 Design,2026-01-01,2026-12-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-ORACLE-ERP|CI-CLOUD-AWS-PROD,CON-AWS-2026,POL-007|POL-010,Enterprise PMO,INIT-7,Enterprise PMO,2026-05-01,0.8,true,
INIT-008,Identity Zero Trust Rollout 1,Chief Data and Analytics Officer,Payer Platform Operations,In Flight,P4 Roadmap,2026-02-01,2026-01-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-WORKDAY-HCM|CI-CLOUD-AZURE-PROD,CON-AZURE-2026,POL-008|POL-011,Enterprise PMO,INIT-8,Enterprise PMO,2026-05-01,0.8,true,
INIT-009,Contact Center AI Routing 2,EVP Digital and Technology,Cybersecurity Governance,Proposed,P1 Charter,2026-03-01,2026-02-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-RESEARCH-LAKE|CI-APP-ENSEMBLE-RCM,CON-PALANTIR-2026,POL-009|POL-012,Enterprise PMO,INIT-9,Enterprise PMO,2026-05-01,0.8,true,
INIT-010,Epic Hosting Modernization 2,Chief Financial Officer,IT Sourcing,In Design,P2 Diagnose,2026-04-01,2026-03-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-PLAT-DATABRICKS|CI-APP-001,CON-DATABRICKS-2026,POL-010|POL-013,Enterprise PMO,INIT-10,Enterprise PMO,2026-05-01,0.8,true,
INIT-011,Revenue Cycle Automation Controls 2,Chief Medical Officer,EHR Platform Engineering,Approved,P3 Design,2026-05-01,2026-04-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-WH-SNOWFLAKE|CI-SVC-002,CON-SNOWFLAKE-2026,POL-011|POL-014,Enterprise PMO,INIT-11,Enterprise PMO,2026-05-01,0.8,true,
INIT-012,Research Secure Workspace Expansion 2,Chief Data and Analytics Officer,Clinical Informatics,In Flight,P4 Roadmap,2026-06-01,2026-05-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SEC-OKTA|CI-DATA-003,CON-CERNER-2026,POL-012|POL-015,Enterprise PMO,INIT-12,Enterprise PMO,2026-05-01,0.8,true,
INIT-013,Clinical Integration Reliability 2,EVP Digital and Technology,Integration Operations,Proposed,P1 Charter,2026-01-01,2026-06-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SEC-IMPRIVATA|CI-APP-004,CON-ENSEMBLE-2026,POL-013|POL-016,Enterprise PMO,INIT-13,Enterprise PMO,2026-05-01,0.8,true,
INIT-014,Cloud Cost Transparency 2,Chief Financial Officer,Revenue Cycle Technology,In Design,P2 Diagnose,2026-02-01,2026-07-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-CLOUD-AWS-PROD|CI-SVC-005,CON-3M-2026,POL-014|POL-017,Enterprise PMO,INIT-14,Enterprise PMO,2026-05-01,0.8,true,
INIT-015,Payer Platform Data Modernization 2,Chief Medical Officer,Contact Center Technology,Approved,P3 Design,2026-03-01,2026-08-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-CLOUD-AZURE-PROD|CI-DATA-006,CON-NUANCE-2026,POL-015|POL-018,Enterprise PMO,INIT-15,Enterprise PMO,2026-05-01,0.8,true,
INIT-016,Identity Zero Trust Rollout 2,Chief Data and Analytics Officer,Cloud Platform Services,In Flight,P4 Roadmap,2026-04-01,2026-09-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-ENSEMBLE-RCM|CI-APP-007,CON-IMPRIVATA-2026,POL-016|POL-019,Enterprise PMO,INIT-16,Enterprise PMO,2026-05-01,0.8,true,
INIT-017,Contact Center AI Routing 3,EVP Digital and Technology,Research Technology Office,Proposed,P1 Charter,2026-05-01,2026-10-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-001|CI-SVC-008,CON-OKTA-2026,POL-017|POL-020,Enterprise PMO,INIT-17,Enterprise PMO,2026-05-01,0.8,true,
INIT-018,Epic Hosting Modernization 3,Chief Financial Officer,Payer Platform Operations,In Design,P2 Diagnose,2026-06-01,2026-11-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-002|CI-DATA-009,CON-CROWDSTRIKE-2026,POL-018|POL-021,Enterprise PMO,INIT-18,Enterprise PMO,2026-05-01,0.8,true,
INIT-019,Revenue Cycle Automation Controls 3,Chief Medical Officer,Cybersecurity Governance,Approved,P3 Design,2026-01-01,2026-12-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-003|CI-APP-010,CON-PALOALTO-2026,POL-019|POL-022,Enterprise PMO,INIT-19,Enterprise PMO,2026-05-01,0.8,true,
INIT-020,Research Secure Workspace Expansion 3,Chief Data and Analytics Officer,IT Sourcing,In Flight,P4 Roadmap,2026-02-01,2026-01-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-004|CI-SVC-011,CON-ZSCALER-2026,POL-020|POL-023,Enterprise PMO,INIT-20,Enterprise PMO,2026-05-01,0.8,true,
INIT-021,Clinical Integration Reliability 3,EVP Digital and Technology,EHR Platform Engineering,Proposed,P1 Charter,2026-03-01,2026-02-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-005|CI-DATA-012,CON-BROADCOM-2026,POL-021|POL-024,Enterprise PMO,INIT-21,Enterprise PMO,2026-05-01,0.8,true,
INIT-022,Cloud Cost Transparency 3,Chief Financial Officer,Clinical Informatics,In Design,P2 Diagnose,2026-04-01,2026-03-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-006|CI-APP-013,CON-CISCO-2026,POL-022|POL-025,Enterprise PMO,INIT-22,Enterprise PMO,2026-05-01,0.8,true,
INIT-023,Payer Platform Data Modernization 3,Chief Medical Officer,Integration Operations,Approved,P3 Design,2026-05-01,2026-04-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-007|CI-SVC-014,CON-VEEAM-2026,POL-023|POL-026,Enterprise PMO,INIT-23,Enterprise PMO,2026-05-01,0.8,true,
INIT-024,Identity Zero Trust Rollout 3,Chief Data and Analytics Officer,Revenue Cycle Technology,In Flight,P4 Roadmap,2026-06-01,2026-05-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-008|CI-DATA-015,CON-HASHICORP-2026,POL-024|POL-027,Enterprise PMO,INIT-24,Enterprise PMO,2026-05-01,0.8,true,
INIT-025,Contact Center AI Routing 4,EVP Digital and Technology,Contact Center Technology,Proposed,P1 Charter,2026-01-01,2026-06-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-009|CI-APP-016,CON-REDOX-2026,POL-025|POL-028,Enterprise PMO,INIT-25,Enterprise PMO,2026-05-01,0.8,true,
INIT-026,Epic Hosting Modernization 4,Chief Financial Officer,Cloud Platform Services,In Design,P2 Diagnose,2026-02-01,2026-07-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-010|CI-SVC-017,CON-QLIK-2026,POL-026|POL-029,Enterprise PMO,INIT-26,Enterprise PMO,2026-05-01,0.8,true,
INIT-027,Revenue Cycle Automation Controls 4,Chief Medical Officer,Research Technology Office,Approved,P3 Design,2026-03-01,2026-08-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-011|CI-DATA-018,CON-QUALTRICS-2026,POL-027|POL-030,Enterprise PMO,INIT-27,Enterprise PMO,2026-05-01,0.8,true,
INIT-028,Research Secure Workspace Expansion 4,Chief Data and Analytics Officer,Payer Platform Operations,In Flight,P4 Roadmap,2026-04-01,2026-09-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-012|CI-APP-019,CON-WORKDAY-2026,POL-028|POL-031,Enterprise PMO,INIT-28,Enterprise PMO,2026-05-01,0.8,true,
INIT-029,Clinical Integration Reliability 4,EVP Digital and Technology,Cybersecurity Governance,Proposed,P1 Charter,2026-05-01,2026-10-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-013|CI-SVC-020,CON-EPIC-2026,POL-029|POL-032,Enterprise PMO,INIT-29,Enterprise PMO,2026-05-01,0.8,true,
INIT-030,Cloud Cost Transparency 4,Chief Financial Officer,IT Sourcing,In Design,P2 Diagnose,2026-06-01,2026-11-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-014|CI-DATA-021,CON-SNOW-2026,POL-030|POL-001,Enterprise PMO,INIT-30,Enterprise PMO,2026-05-01,0.8,true,
INIT-031,Payer Platform Data Modernization 4,Chief Medical Officer,EHR Platform Engineering,Approved,P3 Design,2026-01-01,2026-12-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-015|CI-APP-022,CON-ORACLE-2026,POL-031|POL-002,Enterprise PMO,INIT-31,Enterprise PMO,2026-05-01,0.8,true,
INIT-032,Identity Zero Trust Rollout 4,Chief Data and Analytics Officer,Clinical Informatics,In Flight,P4 Roadmap,2026-02-01,2026-01-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-016|CI-SVC-023,CON-SALESFORCE-2026,POL-032|POL-003,Enterprise PMO,INIT-32,Enterprise PMO,2026-05-01,0.8,true,
