tenantKey,nodeId,objectType,objectFamily,displayName,sourceFile,sourceRowNumber,mappingProfile,materialized
lakeshore-holdings,lakeshore-holdings:business_function:corporate-finance-and-treasury,business_function,organization,Corporate Finance and Treasury,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,2,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:corporate-hr-and-talent,business_function,organization,Corporate HR and Talent,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,3,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:corporate-legal-and-compliance,business_function,organization,Corporate Legal and Compliance,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,4,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:investments-and-portfolio-management,business_function,organization,Investments and Portfolio Management,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,5,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:corporate-it,business_function,organization,Corporate IT,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,6,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:corporate-innovation-it-and-data-ai,business_function,organization,Corporate Innovation IT and Data AI,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,7,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:northline-logistics-operations,business_function,organization,Northline Logistics Operations,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,8,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:northline-local-it,business_function,organization,Northline Local IT,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,9,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:brightmark-client-delivery,business_function,organization,Brightmark Client Delivery,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,10,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:brightmark-local-it,business_function,organization,Brightmark Local IT,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,11,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:forge-field-commercial-and-supply-chain,business_function,organization,Forge & Field Commercial and Supply Chain,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,12,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:forge-field-local-it,business_function,organization,Forge & Field Local IT,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,13,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:great-lakes-pantry-service-operations,business_function,organization,Great Lakes Pantry Service Operations,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,14,organization-business-functions/v1,no
lakeshore-holdings,lakeshore-holdings:business_function:great-lakes-pantry-local-it,business_function,organization,Great Lakes Pantry Local IT,datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,15,organization-business-functions/v1,no
