tenant_key,display_name,stakeholder_group,interview_rows,question_categories_expected,status
skyharbor-air,Airline Demo,CEO / enterprise strategy,12,12,pass
skyharbor-air,Airline Demo,CFO / finance and value,12,12,pass
skyharbor-air,Airline Demo,COO / operations,12,12,pass
skyharbor-air,Airline Demo,CIO / enterprise technology,12,12,pass
skyharbor-air,Airline Demo,CTO / infrastructure/cloud/platforms,12,12,pass
skyharbor-air,Airline Demo,CDAO / data and analytics,12,12,pass
skyharbor-air,Airline Demo,CISO / security,12,12,pass
skyharbor-air,Airline Demo,Privacy/compliance/legal,12,12,pass
skyharbor-air,Airline Demo,Procurement/vendor management,12,12,pass
skyharbor-air,Airline Demo,HR/workforce/change,12,12,pass
skyharbor-air,Airline Demo,Transformation office,12,12,pass
skyharbor-air,Airline Demo,Customer/member/passenger experience,12,12,pass
skyharbor-air,Airline Demo,Business function leader,12,12,pass
skyharbor-air,Airline Demo,Contact center leader,12,12,pass
skyharbor-air,Airline Demo,Operations leader,12,12,pass
skyharbor-air,Airline Demo,Enterprise architecture,12,12,pass
skyharbor-air,Airline Demo,Application owner,12,12,pass
skyharbor-air,Airline Demo,IT service management,12,12,pass
