tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,spend_id,amount_usd,amount_type,owner,program_id,vendor_id,system_id,committed_vs_discretionary,renewal_or_gate_date,value_linkage,unit_economics
skyharbor-air,Airline Demo,v6.0,spend_value,BUD-001,Passenger servicing record,v4_synthetic_pack,Technology Finance,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,BUD-001,250000,budget,CIO,PGM-0001,VDR-00001,SYS-0001,committed,2026-10-15,Passenger servicing outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
skyharbor-air,Airline Demo,v6.0,spend_value,BUD-002,Crew productivity record,v4_synthetic_pack,Technology Finance,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,BUD-002,272000,budget,CFO,PGM-0002,VDR-00002,SYS-0002,discretionary,2026-10-26,Crew productivity outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
skyharbor-air,Airline Demo,v6.0,spend_value,BUD-003,Operational recovery record,v4_synthetic_pack,Technology Finance,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,BUD-003,294000,budget,Technology Finance,PGM-0003,VDR-00003,SYS-0003,committed,2026-11-06,Operational recovery outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
skyharbor-air,Airline Demo,v6.0,spend_value,BUD-004,Customer loyalty record,v4_synthetic_pack,Technology Finance,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,BUD-004,316000,budget,Domain Product Owner,PGM-0004,VDR-00004,SYS-0004,discretionary,2026-11-17,Customer loyalty outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
skyharbor-air,Airline Demo,v6.0,spend_value,BUD-005,Maintenance planning record,v4_synthetic_pack,Technology Finance,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,BUD-005,338000,budget,CIO,PGM-0005,VDR-00005,SYS-0005,committed,2026-11-28,Maintenance planning outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
skyharbor-air,Airline Demo,v6.0,spend_value,BUD-006,IROPS response record,v4_synthetic_pack,Technology Finance,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,BUD-006,360000,budget,CFO,PGM-0006,VDR-00006,SYS-0006,discretionary,2026-12-09,IROPS response outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
skyharbor-air,Airline Demo,v6.0,spend_value,BUD-007,Passenger servicing record,v4_synthetic_pack,Technology Finance,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,BUD-007,382000,budget,Technology Finance,PGM-0007,VDR-00007,SYS-0007,committed,2026-12-20,Passenger servicing outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
skyharbor-air,Airline Demo,v6.0,spend_value,BUD-008,Crew productivity record,v4_synthetic_pack,Technology Finance,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,BUD-008,404000,budget,Domain Product Owner,PGM-0008,VDR-00008,SYS-0008,discretionary,2026-12-31,Crew productivity outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
skyharbor-air,Airline Demo,v6.0,spend_value,BUD-009,Operational recovery record,v4_synthetic_pack,Technology Finance,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,BUD-009,426000,budget,CIO,PGM-0009,VDR-00009,SYS-0009,committed,2027-01-11,Operational recovery outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
skyharbor-air,Airline Demo,v6.0,spend_value,BUD-010,Customer loyalty record,v4_synthetic_pack,Technology Finance,synthetic_demo,family-4-financial-commercial/F12_it-budget-financials.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Tower|Intelligence,budget|actual|forecast|proxy_value|gap,roi_without_value_basis|bare_amount_without_entity_period_type,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,BUD-010,448000,budget,CFO,PGM-0010,VDR-00010,SYS-0010,discretionary,2027-01-22,Customer loyalty outcome with named owner and measurement period,Track cost per transaction/user/process cycle before scaling claims
