tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,evidence_id,evidence_title,evidence_type,source_location,evidence_owner,evidence_confidence
skyharbor-air,SkyHarbor Air Group,v6.0,evidence_source,EVID-SHA-0001,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:source_location_missing|data_thin:evidence_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,EVID-SHA-0001,evidence_source record,source_reference,data_thin:source_location_missing,data_thin:evidence_owner_missing,medium
skyharbor-air,SkyHarbor Air Group,v6.0,evidence_source,EVID-SHA-0002,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:source_location_missing|data_thin:evidence_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,EVID-SHA-0002,evidence_source record,source_reference,data_thin:source_location_missing,data_thin:evidence_owner_missing,medium
skyharbor-air,SkyHarbor Air Group,v6.0,evidence_source,EVID-SHA-0003,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:source_location_missing|data_thin:evidence_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,EVID-SHA-0003,evidence_source record,source_reference,data_thin:source_location_missing,data_thin:evidence_owner_missing,medium
skyharbor-air,SkyHarbor Air Group,v6.0,evidence_source,EVID-SHA-0004,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:source_location_missing|data_thin:evidence_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,EVID-SHA-0004,evidence_source record,source_reference,data_thin:source_location_missing,data_thin:evidence_owner_missing,medium
skyharbor-air,SkyHarbor Air Group,v6.0,evidence_source,EVID-SHA-0005,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:source_location_missing|data_thin:evidence_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,EVID-SHA-0005,evidence_source record,source_reference,data_thin:source_location_missing,data_thin:evidence_owner_missing,medium
skyharbor-air,SkyHarbor Air Group,v6.0,evidence_source,EVID-SHA-0006,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:source_location_missing|data_thin:evidence_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,EVID-SHA-0006,evidence_source record,source_reference,data_thin:source_location_missing,data_thin:evidence_owner_missing,medium
skyharbor-air,SkyHarbor Air Group,v6.0,evidence_source,EVID-SHA-0007,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:source_location_missing|data_thin:evidence_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,EVID-SHA-0007,evidence_source record,source_reference,data_thin:source_location_missing,data_thin:evidence_owner_missing,medium
skyharbor-air,SkyHarbor Air Group,v6.0,evidence_source,EVID-SHA-0008,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:source_location_missing|data_thin:evidence_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,EVID-SHA-0008,evidence_source record,source_reference,data_thin:source_location_missing,data_thin:evidence_owner_missing,medium
skyharbor-air,SkyHarbor Air Group,v6.0,evidence_source,EVID-SHA-0100,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:source_location_missing|data_thin:evidence_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,EVID-SHA-0100,evidence_source record,source_reference,data_thin:source_location_missing,data_thin:evidence_owner_missing,medium
skyharbor-air,SkyHarbor Air Group,v6.0,evidence_source,EVID-SHA-0101,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:source_location_missing|data_thin:evidence_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,EVID-SHA-0101,evidence_source record,source_reference,data_thin:source_location_missing,data_thin:evidence_owner_missing,medium
