initiative_id,title,status,sponsor_role,committed_usd,realized_value_usd
NST-CLOSED-001,Closed Northstar initiative 1,completed,CFO,2050000,2790000
NST-CLOSED-002,Closed Northstar initiative 2,completed,COO,2600000,3580000
NST-CLOSED-003,Closed Northstar initiative 3,completed,CIO,3150000,4370000
NST-CLOSED-004,Closed Northstar initiative 4,killed,CFO,3700000,5160000
NST-CLOSED-005,Closed Northstar initiative 5,completed,COO,4250000,5950000
NST-CLOSED-006,Closed Northstar initiative 6,completed,CIO,4800000,6740000
NST-CLOSED-007,Closed Northstar initiative 7,completed,CFO,5350000,7530000
NST-CLOSED-008,Closed Northstar initiative 8,killed,COO,5900000,8320000
NST-CLOSED-009,Closed Northstar initiative 9,completed,CIO,6450000,9110000
NST-CLOSED-010,Closed Northstar initiative 10,completed,CFO,7000000,9900000
NST-CLOSED-011,Closed Northstar initiative 11,completed,COO,7550000,10690000
NST-CLOSED-012,Closed Northstar initiative 12,killed,CIO,8100000,11480000
NST-CLOSED-013,Closed Northstar initiative 13,completed,CFO,8650000,12270000
NST-CLOSED-014,Closed Northstar initiative 14,completed,COO,9200000,13060000
NST-CLOSED-015,Closed Northstar initiative 15,completed,CIO,9750000,13850000
NST-CLOSED-016,Closed Northstar initiative 16,killed,CFO,10300000,14640000
NST-CLOSED-017,Closed Northstar initiative 17,completed,COO,10850000,15430000
NST-CLOSED-018,Closed Northstar initiative 18,completed,CIO,11400000,16220000
NST-CLOSED-019,Closed Northstar initiative 19,completed,CFO,11950000,17010000
NST-CLOSED-020,Closed Northstar initiative 20,killed,COO,12500000,17800000
NST-CLOSED-021,Closed Northstar initiative 21,completed,CIO,13050000,18590000
NST-CLOSED-022,Closed Northstar initiative 22,completed,CFO,13600000,19380000
NST-CLOSED-023,Closed Northstar initiative 23,completed,COO,14150000,20170000
NST-CLOSED-024,Closed Northstar initiative 24,killed,CIO,14700000,20960000
NST-CLOSED-025,Closed Northstar initiative 25,completed,CFO,15250000,21750000
