tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,change_order_id,request_date,change_type,description,requested_amount_usd,approval_status,scope_posture,nexus_interpretation,recurring,annualized_spend_usd,one_time_spend_usd,approval_owner,linked_application_ref,synthetic_policy,source_file_id
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-001,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-001,2025-01-01,project,Regulatory quality-reporting layout refresh,98500,accepted,documented_one_time,one time project,false,0.00,98500.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-002,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-002,2025-02-01,run,Quarter-close reporting stabilization,142000,accepted,in_scope_disputed,change order creep candidate,true,142000.00,0.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-003,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-003,2025-03-01,project,New provider network dashboard variant,76000,accepted,documented_one_time,one time project,false,0.00,76000.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-004,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-004,2025-04-01,run,Claims extract remediation after source schema change,118500,accepted,in_scope_disputed,change order creep candidate,true,118500.00,0.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-005,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-005,2025-05-01,project,Databricks dual-run validation scripts,210000,accepted,documented_one_time,one time project,false,0.00,210000.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-006,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-006,2025-06-01,project,SAS model output certification,64000,accepted,documented_one_time,one time project,false,0.00,64000.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-007,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-007,2025-07-01,run,Recurring manual runbook for failed nightly feeds,152000,accepted,in_scope_disputed,change order creep candidate,true,152000.00,0.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-008,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-008,2025-08-01,project,Additional Power BI workspace migration support,89000,accepted,documented_one_time,one time project,false,0.00,89000.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-009,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-009,2025-09-01,run,Repeat defect backlog triage for legacy SQL marts,174000,accepted,in_scope_disputed,change order creep candidate,true,174000.00,0.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-010,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-010,2025-10-01,project,Provider directory exception extract,43000,accepted,documented_one_time,one time project,false,0.00,43000.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-011,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-011,2025-11-01,run,Manual reconciliation of enrollment eligibility feed,126000,accepted,in_scope_disputed,change order creep candidate,true,126000.00,0.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
meridian-health,meridian-laams-new-event-rich-v2-20260908,change_order:MER-TECH-LAAMS-001:CO-LAAMS-012,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,CO-LAAMS-012,2025-12-01,project,Emergency report refresh during audit window,55000,accepted,documented_one_time,one time project,false,0.00,55000.00,Director Analytics Platform,APP-LAAMS-001,synthetic_demo_only_not_client_truth,DOC-LAAMS-CHANGE-ORDERS
