tenant_key,dataset_version,application_ref,application_name,business_function,criticality,hosting_model,lifecycle_state,source_system,source_record_id,as_of_date,confidence
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-001,Enterprise SQL Reporting Mart 1,Finance Analytics,Tier 1,SQL Server,active,synthetic_cmdb_extract,APP-LAAMS-001,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-002,Claims Analytics Mart 1,Claims Operations,Tier 2,Tableau,active,synthetic_cmdb_extract,APP-LAAMS-002,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-003,Provider Quality Mart 1,Clinical Quality,Tier 2,Power BI,active,synthetic_cmdb_extract,APP-LAAMS-003,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-004,Member Experience Dashboard Hub 1,Provider Network,Tier 3,SAS,active,synthetic_cmdb_extract,APP-LAAMS-004,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-005,Tableau Server Legacy Cluster 1,Member Experience,Tier 1,SSIS,active,synthetic_cmdb_extract,APP-LAAMS-005,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-006,Power BI Gateway Farm 1,Finance Analytics,Tier 2,AWS,active,synthetic_cmdb_extract,APP-LAAMS-006,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-007,SAS Claims Model Scheduler 1,Claims Operations,Tier 2,Databricks,active,synthetic_cmdb_extract,APP-LAAMS-007,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-008,Regulatory Reporting Store 1,Clinical Quality,Tier 3,SQL Server,active,synthetic_cmdb_extract,APP-LAAMS-008,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-009,Enterprise SQL Reporting Mart 2,Provider Network,Tier 1,Tableau,active,synthetic_cmdb_extract,APP-LAAMS-009,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-010,Claims Analytics Mart 2,Member Experience,Tier 2,Power BI,active,synthetic_cmdb_extract,APP-LAAMS-010,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-011,Provider Quality Mart 2,Finance Analytics,Tier 2,SAS,active,synthetic_cmdb_extract,APP-LAAMS-011,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-012,Member Experience Dashboard Hub 2,Claims Operations,Tier 3,SSIS,active,synthetic_cmdb_extract,APP-LAAMS-012,2027-06-30,0.90
meridian-health,meridian-laams-new-event-rich-v2-20260908,APP-LAAMS-013,Tableau Server Legacy Cluster 2,Clinical Quality,Tier 1,AWS,active,synthetic_cmdb_extract,APP-LAAMS-013,2027-06-30,0.90
