tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,report_id,report_name,tool,business_process,monthly_users,refresh_sla_hours,decommission_candidate,modernization_target,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,RPT-LAAMS-001,Operational analytics report 001,Tableau,claims denial review,15,4,true,Databricks gold data product,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,RPT-LAAMS-002,Operational analytics report 002,Power BI,provider quality,16,8,false,retain until wave assigned,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,RPT-LAAMS-003,Operational analytics report 003,SSRS,member service,17,12,false,retain until wave assigned,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,RPT-LAAMS-004,Operational analytics report 004,SAS output,finance close,18,24,false,retain until wave assigned,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,RPT-LAAMS-005,Operational analytics report 005,Excel distribution,regulatory reporting,19,4,false,Databricks gold data product,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,RPT-LAAMS-006,Operational analytics report 006,Tableau,claims denial review,20,8,false,retain until wave assigned,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,RPT-LAAMS-007,Operational analytics report 007,Power BI,provider quality,21,12,false,retain until wave assigned,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,RPT-LAAMS-008,Operational analytics report 008,SSRS,member service,22,24,false,retain until wave assigned,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,RPT-LAAMS-009,Operational analytics report 009,SAS output,finance close,23,4,false,Databricks gold data product,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,RPT-LAAMS-010,Operational analytics report 010,Excel distribution,regulatory reporting,24,8,true,retain until wave assigned,meridian-laams-new-event-rich-v2-20260908
