tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,bafo_ask_id,supplier_name,ask_type,ask_basis,target_value_usd,supplier_response,finance_confirmation_state,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-001,Cognizant Technology Solutions,rate_reduction,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",125000,accepted,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-002,Accenture Health Technology,sla_auto_credit,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",82000,partial,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-003,Deloitte Consulting,change_order_cap,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",110000,rejected,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-004,Infosys Health Services,transition_fee,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",75000,pending,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-005,Cognizant Technology Solutions,cloud_commitment_support,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",95000,accepted,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-006,Accenture Health Technology,staffing_mix,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",64000,partial,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-007,Deloitte Consulting,rate_reduction,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",125000,rejected,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-008,Infosys Health Services,sla_auto_credit,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",82000,pending,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-009,Cognizant Technology Solutions,change_order_cap,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",110000,accepted,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-010,Accenture Health Technology,transition_fee,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",75000,partial,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-011,Deloitte Consulting,cloud_commitment_support,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",95000,rejected,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-012,Infosys Health Services,staffing_mix,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",64000,pending,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-013,Cognizant Technology Solutions,rate_reduction,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",125000,accepted,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-014,Accenture Health Technology,sla_auto_credit,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",82000,partial,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-015,Deloitte Consulting,change_order_cap,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",110000,rejected,not_confirmed,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,BAFO-LAAMS-016,Infosys Health Services,transition_fee,"Generated from loaded scope, ticket, pricing, SLA, invoice, and cloud evidence.",75000,pending,not_confirmed,meridian-laams-new-event-rich-v2-20260908
