tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,period_month,base_fee_usd,change_order_fee_usd,pass_through_usd,credit_memo_usd,actual_spend_usd,currency,po_number,evidence_document_id,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2024-08-01,654166.67,0,9000,0,663166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2024-09-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2024-10-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2024-11-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2024-12-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-01-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-02-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-03-01,654166.67,0,9000,0,663166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-04-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-05-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
