tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,system_ref,system_name,scheduled_jobs,successful_jobs,failed_jobs,late_completion_count,manual_restarts,business_owner,source_file_id
meridian-health,meridian-laams-new-event-rich-v2-20260908,batch_volume:MER-TECH-LAAMS-001:2026-08:PIPE-LAAMS-001,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,PIPE-LAAMS-001,Legacy analytics feed 001,30,30,0,0,0,Data & Analytics Operations,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,batch_volume:MER-TECH-LAAMS-001:2026-08:PIPE-LAAMS-002,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,PIPE-LAAMS-002,Legacy analytics feed 002,22,21,1,0,1,Data & Analytics Operations,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,batch_volume:MER-TECH-LAAMS-001:2026-08:PIPE-LAAMS-003,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,PIPE-LAAMS-003,Legacy analytics feed 003,8,8,0,0,0,Data & Analytics Operations,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,batch_volume:MER-TECH-LAAMS-001:2026-08:PIPE-LAAMS-004,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,PIPE-LAAMS-004,Legacy analytics feed 004,1,1,0,0,0,Data & Analytics Operations,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,batch_volume:MER-TECH-LAAMS-001:2026-08:PIPE-LAAMS-005,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,PIPE-LAAMS-005,Legacy analytics feed 005,30,29,1,0,1,Data & Analytics Operations,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,batch_volume:MER-TECH-LAAMS-001:2026-08:PIPE-LAAMS-006,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,PIPE-LAAMS-006,Legacy analytics feed 006,22,22,0,0,0,Data & Analytics Operations,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,batch_volume:MER-TECH-LAAMS-001:2026-08:PIPE-LAAMS-007,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,PIPE-LAAMS-007,Legacy analytics feed 007,8,8,0,0,0,Data & Analytics Operations,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,batch_volume:MER-TECH-LAAMS-001:2026-08:PIPE-LAAMS-008,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,PIPE-LAAMS-008,Legacy analytics feed 008,1,1,0,0,0,Data & Analytics Operations,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,batch_volume:MER-TECH-LAAMS-001:2026-09:PIPE-LAAMS-001,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-09,PIPE-LAAMS-001,Legacy analytics feed 001,30,30,0,0,0,Data & Analytics Operations,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,batch_volume:MER-TECH-LAAMS-001:2026-09:PIPE-LAAMS-002,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-09,PIPE-LAAMS-002,Legacy analytics feed 002,22,21,1,0,1,Data & Analytics Operations,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
