tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,scope_item_id,scope_family,business_unit,item_name,criticality,run_or_change,vendor_responsibility,modernization_target,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-001,SQL Server mart,Finance,SQL Server mart 01,high,change_candidate,shared_with_retained_team,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-002,Tableau workbook,Claims Operations,Tableau workbook 02,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-003,Power BI semantic model,Clinical Quality,Power BI semantic model 03,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-004,SAS batch job,Member Experience,SAS batch job 04,low,run,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-005,claims feed,Provider Network,claims feed 05,high,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-006,provider analytics report,Finance,provider analytics report 06,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-007,membership eligibility extract,Claims Operations,membership eligibility extract 07,medium,change_candidate,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-008,SQL Server mart,Clinical Quality,SQL Server mart 08,low,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-009,Tableau workbook,Member Experience,Tableau workbook 09,high,run,shared_with_retained_team,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-010,Power BI semantic model,Provider Network,Power BI semantic model 10,medium,run,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-011,SAS batch job,Finance,SAS batch job 11,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-012,claims feed,Claims Operations,claims feed 12,low,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-013,provider analytics report,Clinical Quality,provider analytics report 13,high,change_candidate,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-014,membership eligibility extract,Member Experience,membership eligibility extract 14,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-015,SQL Server mart,Provider Network,SQL Server mart 15,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-016,Tableau workbook,Finance,Tableau workbook 16,low,run,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-017,Power BI semantic model,Claims Operations,Power BI semantic model 17,high,run,shared_with_retained_team,legacy run support,meridian-laams-new-event-rich-v2-20260908
