check_id,expected,actual,status
contracts_rows,1,1,PASS
contract_clauses_rows,56,56,PASS
cmdb_application_scope_rows,48,48,PASS
monthly_spend_rows,12,12,PASS
sla_performance_rows,12,12,PASS
ticket_volumetrics_rows,72,72,PASS
resource_model_rows,30,30,PASS
invoice_line_detail_rows,72,72,PASS
batch_job_volumetrics_rows,96,96,PASS
change_orders_rows,12,12,PASS
qbr_scorecards_rows,4,4,PASS
optimization_opportunities_rows,4,4,PASS
evidence_manifest_rows,45,45,PASS
contract_page_text_rows,45,45,PASS
