tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,invoice_line_id,invoice_number,period_month,line_type,description,amount_usd,cost_center,po_number,matched_to_contract,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0001,INV-2024-08-001,2024-08-01,base_fee,base fee line for 2024-08-01,109027.78,D&A Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0002,INV-2024-09-001,2024-09-01,change_order,change order line for 2024-09-01,9250,Claims Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0003,INV-2024-10-001,2024-10-01,pass_through,pass through line for 2024-10-01,1250,Finance Analytics,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0004,INV-2024-11-001,2024-11-01,credit_memo,credit memo line for 2024-11-01,0,Clinical Quality,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0005,INV-2024-12-001,2024-12-01,transition_support,transition support line for 2024-12-01,6200,D&A Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0006,INV-2025-01-001,2025-01-01,surge_pool,surge pool line for 2025-01-01,3800,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0007,INV-2025-02-002,2025-02-01,base_fee,base fee line for 2025-02-01,109027.78,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0008,INV-2025-03-002,2025-03-01,change_order,change order line for 2025-03-01,13750,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0009,INV-2025-04-002,2025-04-01,pass_through,pass through line for 2025-04-01,1250,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0010,INV-2025-05-002,2025-05-01,credit_memo,credit memo line for 2025-05-01,0,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0011,INV-2025-06-002,2025-06-01,transition_support,transition support line for 2025-06-01,6200,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0012,INV-2025-07-002,2025-07-01,surge_pool,surge pool line for 2025-07-01,3800,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
