tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,source_file_id,evidence_id,document_type,file_name,source_system,source_owner,use_in_source,synthetic_policy,review_state
meridian-health,meridian-laams-new-event-rich-v2-20260908,evidence:DOC-LAAMS-MSA,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-MSA,DOC-LAAMS-MSA,contract,DOC-LAAMS-MSA.docx,CLM,Synthetic source package,Master Services Agreement,synthetic_demo_only_not_client_truth,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,evidence:DOC-LAAMS-SOW,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-SOW,DOC-LAAMS-SOW,sow,DOC-LAAMS-SOW.docx,SharePoint,Synthetic source package,Statement of Work Legacy Analytics Operations,synthetic_demo_only_not_client_truth,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,evidence:DOC-LAAMS-SLA-SCHEDULE,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-SLA-SCHEDULE,DOC-LAAMS-SLA-SCHEDULE,sla,DOC-LAAMS-SLA-SCHEDULE.docx,ServiceNow,Synthetic source package,SLA Schedule and Service Credit Exhibit,synthetic_demo_only_not_client_truth,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,evidence:DOC-LAAMS-RATE-CARD,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-RATE-CARD,DOC-LAAMS-RATE-CARD,pricing,DOC-LAAMS-RATE-CARD.docx,ERP/AP,Synthetic source package,Rate Card and Staffing Plan,synthetic_demo_only_not_client_truth,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,evidence:DOC-LAAMS-CHANGE-ORDERS,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-CHANGE-ORDERS,DOC-LAAMS-CHANGE-ORDERS,change_order,DOC-LAAMS-CHANGE-ORDERS.docx,AWS CUR Export,Synthetic source package,Change Order Pack,synthetic_demo_only_not_client_truth,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,evidence:DOC-LAAMS-MONTHLY-SERVICE-REVIEWS,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS,performance,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS.docx,RFP Workspace,Synthetic source package,Monthly Service Review Pack,synthetic_demo_only_not_client_truth,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,evidence:DOC-LAAMS-INVOICE-PO-PACKET,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-INVOICE-PO-PACKET,DOC-LAAMS-INVOICE-PO-PACKET,finance,DOC-LAAMS-INVOICE-PO-PACKET.docx,CLM,Synthetic source package,Invoice and PO Packet,synthetic_demo_only_not_client_truth,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,evidence:DOC-LAAMS-AWS-CONSUMPTION,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-AWS-CONSUMPTION,DOC-LAAMS-AWS-CONSUMPTION,cloud,DOC-LAAMS-AWS-CONSUMPTION.docx,SharePoint,Synthetic source package,AWS and Databricks Consumption Evidence,synthetic_demo_only_not_client_truth,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,evidence:DOC-LAAMS-RFP,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-RFP,DOC-LAAMS-RFP,rfp,DOC-LAAMS-RFP.docx,ServiceNow,Synthetic source package,RFP Package,synthetic_demo_only_not_client_truth,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,evidence:DOC-LAAMS-VENDOR-PROPOSALS,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-LAAMS-VENDOR-PROPOSALS,DOC-LAAMS-VENDOR-PROPOSALS,responses,DOC-LAAMS-VENDOR-PROPOSALS.docx,ERP/AP,Synthetic source package,Vendor Proposal Pack,synthetic_demo_only_not_client_truth,synthetic_demo_reviewed
