tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,period_start,period_end,committed_base_amount_usd,invoice_amount_usd,paid_amount_usd,actual_spend_usd,variance_to_committed_usd,currency,invoice_ref,source_file_id
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2026-08,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,2026-08-01,2026-08-31,654166.67,654166.67,654166.67,654166.67,0.00,USD,INV-MER-TECH-LAAMS-202608,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2026-09,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-09,2026-09-01,2026-09-30,654166.67,704666.67,704666.67,704666.67,50500.00,USD,INV-MER-TECH-LAAMS-202609,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2026-10,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-10,2026-10-01,2026-10-31,654166.67,641666.67,641666.67,641666.67,-12500.00,USD,INV-MER-TECH-LAAMS-202610,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2026-11,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-11,2026-11-01,2026-11-30,654166.67,654166.67,654166.67,654166.67,0.00,USD,INV-MER-TECH-LAAMS-202611,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2026-12,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-12,2026-12-01,2026-12-31,654166.67,663166.67,663166.67,663166.67,9000.00,USD,INV-MER-TECH-LAAMS-202612,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2027-01,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-01,2027-01-01,2027-01-31,654166.67,654166.67,654166.67,654166.67,0.00,USD,INV-MER-TECH-LAAMS-202701,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2027-02,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-02,2027-02-01,2027-02-28,654166.67,713166.67,713166.67,713166.67,59000.00,USD,INV-MER-TECH-LAAMS-202702,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2027-03,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-03,2027-03-01,2027-03-31,654166.67,654166.67,654166.67,654166.67,0.00,USD,INV-MER-TECH-LAAMS-202703,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2027-04,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-04,2027-04-01,2027-04-30,654166.67,654166.67,654166.67,654166.67,0.00,USD,INV-MER-TECH-LAAMS-202704,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2027-05,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-05,2027-05-01,2027-05-31,654166.67,654166.67,654166.67,654166.67,0.00,USD,INV-MER-TECH-LAAMS-202705,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2027-06,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-06,2027-06-01,2027-06-30,654166.67,654166.67,654166.67,654166.67,0.00,USD,INV-MER-TECH-LAAMS-202706,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,monthly_spend:MER-TECH-LAAMS-001:2027-07,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-07,2027-07-01,2027-07-31,654166.67,730666.67,730666.67,730666.67,76500.00,USD,INV-MER-TECH-LAAMS-202707,DOC-LAAMS-INVOICE-PO-PACKET
