tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,supplier_name,requirement_id,response_state,evidence_citation_supplied,pricing_basis_supplied,response_quality_score,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-001,exception,false,,3,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-002,answered,true,,4,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-003,answered,true,,5,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-004,answered,true,,3,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-005,answered,true,false,4,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-006,answered,true,,5,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-007,answered,true,,3,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-008,partial,true,,4,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-009,answered,true,,5,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-010,answered,false,,3,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-011,answered,true,,4,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-012,exception,true,,5,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-013,answered,true,,3,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-014,answered,true,,4,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-015,partial,true,true,5,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-016,answered,true,,3,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-017,answered,true,,4,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-018,answered,true,,5,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-019,answered,false,,3,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-020,answered,true,,4,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-021,answered,true,,5,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-022,partial,true,,3,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-023,exception,true,,4,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-024,answered,true,,5,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,REQ-LAAMS-025,answered,true,false,3,meridian-laams-new-event-rich-v2-20260908
