tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,period_start,period_end,service_tower,severity,ticket_count,sla_target_hours,avg_resolution_hours,backlog_end_count,source_file_id
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-07:incident_p1_p2,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07,2026-07-01,2026-07-31,Legacy Analytics AMS,P2,8,8,28.8,3,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-07:incident_p3_p4,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07,2026-07-01,2026-07-31,Legacy Analytics AMS,incident_p3_p4,142,8,91.2,4,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-07:service_request,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07,2026-07-01,2026-07-31,Legacy Analytics AMS,SR,96,8,50.4,0,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-07:minor_enhancement,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07,2026-07-01,2026-07-31,Legacy Analytics AMS,minor_enhancement,38,8,225.6,0,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-07:problem,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07,2026-07-01,2026-07-31,Legacy Analytics AMS,problem,12,8,508.8,0,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-07:change,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07,2026-07-01,2026-07-31,Legacy Analytics AMS,change,34,8,122.4,0,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-08:incident_p1_p2,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,2026-08-01,2026-08-31,Legacy Analytics AMS,P2,11,8,38.4,1,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-08:incident_p3_p4,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,2026-08-01,2026-08-31,Legacy Analytics AMS,incident_p3_p4,146,8,100.8,1,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-08:service_request,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,2026-08-01,2026-08-31,Legacy Analytics AMS,SR,101,8,60.0,0,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-08:minor_enhancement,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,2026-08-01,2026-08-31,Legacy Analytics AMS,minor_enhancement,44,8,235.2,1,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-08:problem,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,2026-08-01,2026-08-31,Legacy Analytics AMS,problem,19,8,518.4,0,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-08:change,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,2026-08-01,2026-08-31,Legacy Analytics AMS,change,42,8,132.0,0,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
meridian-health,meridian-laams-new-event-rich-v2-20260908,ticket_volume:MER-TECH-LAAMS-001:2026-09:incident_p1_p2,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-09,2026-09-01,2026-09-30,Legacy Analytics AMS,P2,14,8,48.0,1,DOC-LAAMS-MONTHLY-SERVICE-REVIEWS
