tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,supplier_name,pricing_line_id,resource_pool,proposed_fte,proposed_annual_price_usd,transition_fee_usd,exception_flag,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,PRICE-1-service_delivery_leadership,service_delivery_leadership,2.3,585600,420000,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,PRICE-1-analytics_l2_support,analytics_l2_support,10.42,1440000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,PRICE-1-data_engineering_etl_ops,data_engineering_etl_ops,9.21,1488000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,PRICE-1-bi_reporting_enhancements,bi_reporting_enhancements,6.9,1008000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,PRICE-1-sas_statistical_job_support,sas_statistical_job_support,3.35,552000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,PRICE-1-incident_problem_change,incident_problem_change,4.7,672000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,PRICE-1-cloud_transition_support,cloud_transition_support,3.86,912000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,PRICE-1-qa_regression_release,qa_regression_release,2.79,345600,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,PRICE-1-governance_security_audit,governance_security_audit,1.88,369600,0,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Cognizant Technology Solutions,PRICE-1-management_reserve_surge,management_reserve_surge,2.76,163200,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Accenture Health Technology,PRICE-2-service_delivery_leadership,service_delivery_leadership,2.2,555100,610000,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Accenture Health Technology,PRICE-2-analytics_l2_support,analytics_l2_support,9.97,1365000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Accenture Health Technology,PRICE-2-data_engineering_etl_ops,data_engineering_etl_ops,8.82,1410500,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Accenture Health Technology,PRICE-2-bi_reporting_enhancements,bi_reporting_enhancements,6.6,955500,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Accenture Health Technology,PRICE-2-sas_statistical_job_support,sas_statistical_job_support,3.2,523250,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Accenture Health Technology,PRICE-2-incident_problem_change,incident_problem_change,4.5,637000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Accenture Health Technology,PRICE-2-cloud_transition_support,cloud_transition_support,3.7,864500,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Accenture Health Technology,PRICE-2-qa_regression_release,qa_regression_release,2.67,327600,0,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Accenture Health Technology,PRICE-2-governance_security_audit,governance_security_audit,1.8,350350,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Accenture Health Technology,PRICE-2-management_reserve_surge,management_reserve_surge,2.64,154700,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Deloitte Consulting,PRICE-3-service_delivery_leadership,service_delivery_leadership,2.38,622200,350000,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Deloitte Consulting,PRICE-3-analytics_l2_support,analytics_l2_support,10.75,1530000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Deloitte Consulting,PRICE-3-data_engineering_etl_ops,data_engineering_etl_ops,9.51,1581000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Deloitte Consulting,PRICE-3-bi_reporting_enhancements,bi_reporting_enhancements,7.13,1071000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Deloitte Consulting,PRICE-3-sas_statistical_job_support,sas_statistical_job_support,3.46,586500,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Deloitte Consulting,PRICE-3-incident_problem_change,incident_problem_change,4.85,714000,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Deloitte Consulting,PRICE-3-cloud_transition_support,cloud_transition_support,3.99,969000,0,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Deloitte Consulting,PRICE-3-qa_regression_release,qa_regression_release,2.88,367200,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Deloitte Consulting,PRICE-3-governance_security_audit,governance_security_audit,1.94,392700,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Deloitte Consulting,PRICE-3-management_reserve_surge,management_reserve_surge,2.85,173400,0,false,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,Infosys Health Services,PRICE-4-service_delivery_leadership,service_delivery_leadership,2.25,573400,520000,false,meridian-laams-new-event-rich-v2-20260908
