tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,role,location_mix,fte,annual_vendor_cost_rate_usd,annual_client_bill_rate_usd,annual_vendor_cost_usd,annual_billed_amount_usd,annual_margin_and_overhead_usd,responsibility,source_file_id
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-service_delivery_leadership-ON,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,service_delivery_leadership - onshore_lead_or_sme,onshore,1,175680.00,244000.00,175680.00,244000.00,68320.00,"Account governance, QBRs, backlog prioritization, vendor escalation",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-service_delivery_leadership-OFF-PRIMARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,service_delivery_leadership - offshore_senior_or_primary,offshore,1.02,151280.00,244000.00,154305.60,248880.00,94574.40,"Account governance, QBRs, backlog prioritization, vendor escalation",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-service_delivery_leadership-OFF-SECONDARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,service_delivery_leadership - offshore_engineer_or_analyst,offshore,0.48,151280.00,244000.00,72614.40,117120.00,44505.60,"Account governance, QBRs, backlog prioritization, vendor escalation",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-analytics_l2_support-ON,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,analytics_l2_support - onshore_lead_or_sme,onshore,2,96428.57,133928.57,192857.14,267857.14,75000.00,"L2 support for reporting portals, Tableau, Power BI, and data-quality tickets",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-analytics_l2_support-OFF-PRIMARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,analytics_l2_support - offshore_senior_or_primary,offshore,6.26,83035.71,133928.57,519803.57,838392.86,318589.29,"L2 support for reporting portals, Tableau, Power BI, and data-quality tickets",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-analytics_l2_support-OFF-SECONDARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,analytics_l2_support - offshore_engineer_or_analyst,offshore,2.94,83035.71,133928.57,244125.00,393750.00,149625.00,"L2 support for reporting portals, Tableau, Power BI, and data-quality tickets",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-data_engineering_etl_ops-ON,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,data_engineering_etl_ops - onshore_lead_or_sme,onshore,1.5,113877.55,158163.27,170816.33,237244.90,66428.57,"SSIS, SQL Agent, Informatica-style batch operations, data feed monitoring",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-data_engineering_etl_ops-OFF-PRIMARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,data_engineering_etl_ops - offshore_senior_or_primary,offshore,5.64,98061.23,158163.27,553065.31,892040.82,338975.51,"SSIS, SQL Agent, Informatica-style batch operations, data feed monitoring",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-data_engineering_etl_ops-OFF-SECONDARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,data_engineering_etl_ops - offshore_engineer_or_analyst,offshore,2.66,98061.23,158163.27,260842.86,420714.29,159871.43,"SSIS, SQL Agent, Informatica-style batch operations, data feed monitoring",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-bi_reporting_enhancements-ON,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,bi_reporting_enhancements - onshore_lead_or_sme,onshore,1.2,100800.00,140000.00,120960.00,168000.00,47040.00,"Minor enhancements, report fixes, regulatory layout changes",DOC-LAAMS-RATE-CARD
