tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,application_ref,application_name,business_function,criticality,hosting_model,scope_role,relationship_method,relationship_confidence,monthly_report_count,monthly_named_user_count,source_file_id
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-001,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-001,Enterprise SQL Reporting Mart 1,Finance Analytics,Tier 1,SQL Server,primary,explicit_sow_scope,0.92,3,86,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-002,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-002,Claims Analytics Mart 1,Claims Operations,Tier 2,Tableau,primary,explicit_sow_scope,0.92,4,97,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-003,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-003,Provider Quality Mart 1,Clinical Quality,Tier 2,Power BI,primary,explicit_sow_scope,0.92,5,108,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-004,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-004,Member Experience Dashboard Hub 1,Provider Network,Tier 3,SAS,primary,explicit_sow_scope,0.92,6,119,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-005,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-005,Tableau Server Legacy Cluster 1,Member Experience,Tier 1,SSIS,primary,explicit_sow_scope,0.92,7,130,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-006,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-006,Power BI Gateway Farm 1,Finance Analytics,Tier 2,AWS,primary,explicit_sow_scope,0.92,8,141,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-007,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-007,SAS Claims Model Scheduler 1,Claims Operations,Tier 2,Databricks,primary,explicit_sow_scope,0.92,9,152,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-008,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-008,Regulatory Reporting Store 1,Clinical Quality,Tier 3,SQL Server,primary,explicit_sow_scope,0.92,10,163,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-009,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-009,Enterprise SQL Reporting Mart 2,Provider Network,Tier 1,Tableau,primary,explicit_sow_scope,0.92,2,174,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-010,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-010,Claims Analytics Mart 2,Member Experience,Tier 2,Power BI,primary,explicit_sow_scope,0.92,3,185,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-011,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-011,Provider Quality Mart 2,Finance Analytics,Tier 2,SAS,primary,explicit_sow_scope,0.92,4,196,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-012,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-012,Member Experience Dashboard Hub 2,Claims Operations,Tier 3,SSIS,primary,explicit_sow_scope,0.92,5,207,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-013,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-013,Tableau Server Legacy Cluster 2,Clinical Quality,Tier 1,AWS,primary,explicit_sow_scope,0.92,6,218,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-014,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-014,Power BI Gateway Farm 2,Provider Network,Tier 2,Databricks,primary,explicit_sow_scope,0.92,7,229,DOC-LAAMS-SOW
