tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,invoice_ref,po_ref,line_type,line_description,line_amount_usd,gl_account,cost_center,approval_owner,basis,source_file_id
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0145,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2024-08,INV-2024-08-025,PO-LAAMS-2024,base_fee,base fee line for 2024-08-01,109027.78,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0146,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2024-09,INV-2024-09-025,PO-LAAMS-2024,change_order,change order line for 2024-09-01,9250,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0147,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2024-10,INV-2024-10-025,PO-LAAMS-2024,pass_through,pass through line for 2024-10-01,1250,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0148,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2024-11,INV-2024-11-025,PO-LAAMS-2024,credit_memo,credit memo line for 2024-11-01,0,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0149,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2024-12,INV-2024-12-025,PO-LAAMS-2024,transition_support,transition support line for 2024-12-01,6200,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0150,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-01,INV-2025-01-025,PO-LAAMS-2025,surge_pool,surge pool line for 2025-01-01,3800,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0151,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-02,INV-2025-02-026,PO-LAAMS-2025,base_fee,base fee line for 2025-02-01,109027.78,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0152,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-03,INV-2025-03-026,PO-LAAMS-2025,change_order,change order line for 2025-03-01,13750,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0153,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-04,INV-2025-04-026,PO-LAAMS-2025,pass_through,pass through line for 2025-04-01,1250,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0154,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-05,INV-2025-05-026,PO-LAAMS-2025,credit_memo,credit memo line for 2025-05-01,0,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
