tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,event_id,stage_key,stage_order,stage_state,decision_question,required_evidence_family,output_artifact,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SRC-MER-LAAMS-REBID-2027,strategy,1,ready_with_synthetic_evidence,Should Meridian rebid or optimize the incumbent analytics managed-services tower?,contract;spend;issue,strategy_memo,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SRC-MER-LAAMS-REBID-2027,scope,2,ready_with_synthetic_evidence,"What applications, reports, jobs, tickets, and cloud transition obligations are in scope?",cmdb;tickets;sow,scope_memo,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SRC-MER-LAAMS-REBID-2027,rfp,3,ready_with_synthetic_evidence,What RFP will force comparable supplier commitments?,scope;sla;pricing,rfp_pack,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SRC-MER-LAAMS-REBID-2027,responses,4,ready_with_synthetic_evidence,Did suppliers answer every requirement with evidence?,proposal;exceptions,response_dossier,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SRC-MER-LAAMS-REBID-2027,evaluation,5,ready_with_synthetic_evidence,Which supplier offer is strongest and why?,scorecard;citations,evaluation_scorecard,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SRC-MER-LAAMS-REBID-2027,pricing,6,ready_with_synthetic_evidence,"Are pricing, staffing, transition, and pass-throughs comparable?",pricing;rate_card;transition,pricing_workbook,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SRC-MER-LAAMS-REBID-2027,bafo,7,ready_with_synthetic_evidence,What BAFO asks close the value and risk gaps?,bafo;open_gaps,bafo_ask_pack,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SRC-MER-LAAMS-REBID-2027,executive_decision,8,planned_not_approved,What should executives approve?,decision;alternatives,executive_decision_brief,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SRC-MER-LAAMS-REBID-2027,selection,9,planned_not_approved,What award basis is final?,award;conditions,award_record,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SRC-MER-LAAMS-REBID-2027,transition,10,planned_not_approved,Can mobilization start safely?,transition;owners,transition_plan,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SRC-MER-LAAMS-REBID-2027,value,11,planned_not_approved,What value was actually realized?,finance_actuals;credits,value_ledger,meridian-laams-new-event-rich-v2-20260908
