mapping_id,app_id,capability_id,support_type,process_area,user_count,operational_risk
SHA-SFM-0001,APP-00001,SHA-CAP-001,system_of_record,IROPS recovery decisioning,340,high
SHA-SFM-0002,APP-00002,SHA-CAP-002,supporting,Crew recovery and legality,930,medium
SHA-SFM-0003,APP-00003,SHA-CAP-003,supporting,Flight planning and dispatch,6200,medium
SHA-SFM-0004,APP-00004,SHA-CAP-004,primary,Airport turn management,18500,medium
SHA-SFM-0005,APP-00005,SHA-CAP-005,supporting,Baggage tracking and recovery,780,medium
SHA-SFM-0006,APP-00006,SHA-CAP-006,system_of_record,MRO predictive maintenance,132000,medium
SHA-SFM-0007,APP-00007,SHA-CAP-007,primary,Revenue management and pricing,340,medium
SHA-SFM-0008,APP-00008,SHA-CAP-008,supporting,NDC offer/order retailing,930,high
SHA-SFM-0009,APP-00009,SHA-CAP-009,supporting,Loyalty personalization,6200,medium
SHA-SFM-0010,APP-00010,SHA-CAP-010,primary,Digital concierge and journey orchestration,18500,medium
SHA-SFM-0011,APP-00011,SHA-CAP-011,system_of_record,Contact center service recovery,780,medium
SHA-SFM-0012,APP-00012,SHA-CAP-012,supporting,Cargo capacity optimization,132000,medium
SHA-SFM-0013,APP-00013,SHA-CAP-013,primary,Fuel optimization and sustainability,340,medium
SHA-SFM-0014,APP-00014,SHA-CAP-014,supporting,Revenue accounting and settlement,930,medium
SHA-SFM-0015,APP-00015,SHA-CAP-015,supporting,SAP finance close and procurement,6200,high
SHA-SFM-0016,APP-00016,SHA-CAP-016,system_of_record,Mainframe transaction processing,18500,medium
SHA-SFM-0017,APP-00017,SHA-CAP-017,supporting,Cloud-native digital engineering,780,medium
SHA-SFM-0018,APP-00018,SHA-CAP-018,supporting,Enterprise integration and eventing,132000,medium
SHA-SFM-0019,APP-00019,SHA-CAP-019,primary,EDW and certified BI,340,medium
SHA-SFM-0020,APP-00020,SHA-CAP-020,supporting,Data lake ingestion and lineage,930,medium
SHA-SFM-0021,APP-00021,SHA-CAP-021,system_of_record,Customer identity and consent,6200,medium
SHA-SFM-0022,APP-00022,SHA-CAP-022,primary,Cybersecurity and zero trust,18500,high
SHA-SFM-0023,APP-00100,SHA-CAP-023,supporting,ServiceNow workflow automation,780,medium
SHA-SFM-0024,APP-00101,SHA-CAP-024,supporting,Engineering productivity,132000,medium
SHA-SFM-0025,APP-00102,SHA-CAP-025,primary,AI governance and model risk,340,medium
SHA-SFM-0026,APP-00103,SHA-CAP-026,system_of_record,Vendor and contract governance,930,medium
SHA-SFM-0027,APP-00104,SHA-CAP-027,supporting,Safety management system,6200,medium
SHA-SFM-0028,APP-00105,SHA-CAP-028,primary,DOT consumer obligations,18500,medium
SHA-SFM-0029,APP-00106,SHA-CAP-029,supporting,Airport biometrics and identity,780,high
SHA-SFM-0030,APP-00107,SHA-CAP-030,supporting,Premium lounge experience,132000,medium
SHA-SFM-0031,APP-00108,SHA-CAP-031,system_of_record,Onboard retail and connectivity,340,medium
SHA-SFM-0032,APP-00109,SHA-CAP-032,supporting,Catering provisioning,930,medium
SHA-SFM-0033,APP-00110,SHA-CAP-033,supporting,Training and simulation,6200,medium
SHA-SFM-0034,APP-00111,SHA-CAP-034,primary,Treasury fuel hedging,18500,medium
SHA-SFM-0035,APP-00112,SHA-CAP-035,supporting,Executive portfolio value management,780,medium
SHA-SFM-0036,APP-00113,SHA-CAP-001,system_of_record,IROPS recovery decisioning,132000,high
SHA-SFM-0037,APP-00114,SHA-CAP-002,primary,Crew recovery and legality,340,medium
SHA-SFM-0038,APP-00115,SHA-CAP-003,supporting,Flight planning and dispatch,930,medium
SHA-SFM-0039,APP-00116,SHA-CAP-004,supporting,Airport turn management,6200,medium
SHA-SFM-0040,APP-00117,SHA-CAP-005,primary,Baggage tracking and recovery,18500,medium
SHA-SFM-0041,APP-00118,SHA-CAP-006,system_of_record,MRO predictive maintenance,780,medium
SHA-SFM-0042,APP-00119,SHA-CAP-007,supporting,Revenue management and pricing,132000,medium
SHA-SFM-0043,APP-00120,SHA-CAP-008,primary,NDC offer/order retailing,340,high
SHA-SFM-0044,APP-00121,SHA-CAP-009,supporting,Loyalty personalization,930,medium
SHA-SFM-0045,APP-00122,SHA-CAP-010,supporting,Digital concierge and journey orchestration,6200,medium
SHA-SFM-0046,APP-00123,SHA-CAP-011,system_of_record,Contact center service recovery,18500,medium
SHA-SFM-0047,APP-00124,SHA-CAP-012,supporting,Cargo capacity optimization,780,medium
SHA-SFM-0048,APP-00125,SHA-CAP-013,supporting,Fuel optimization and sustainability,132000,medium
SHA-SFM-0049,APP-00126,SHA-CAP-014,primary,Revenue accounting and settlement,340,medium
SHA-SFM-0050,APP-00127,SHA-CAP-015,supporting,SAP finance close and procurement,930,high
SHA-SFM-0051,APP-00128,SHA-CAP-016,system_of_record,Mainframe transaction processing,6200,medium
SHA-SFM-0052,APP-00129,SHA-CAP-017,primary,Cloud-native digital engineering,18500,medium
SHA-SFM-0053,APP-00130,SHA-CAP-018,supporting,Enterprise integration and eventing,780,medium
SHA-SFM-0054,APP-00131,SHA-CAP-019,supporting,EDW and certified BI,132000,medium
SHA-SFM-0055,APP-00132,SHA-CAP-020,primary,Data lake ingestion and lineage,340,medium
SHA-SFM-0056,APP-00133,SHA-CAP-021,system_of_record,Customer identity and consent,930,medium
SHA-SFM-0057,APP-00134,SHA-CAP-022,supporting,Cybersecurity and zero trust,6200,high
SHA-SFM-0058,APP-00135,SHA-CAP-023,primary,ServiceNow workflow automation,18500,medium
SHA-SFM-0059,APP-00136,SHA-CAP-024,supporting,Engineering productivity,780,medium
SHA-SFM-0060,APP-00137,SHA-CAP-025,supporting,AI governance and model risk,132000,medium
SHA-SFM-0061,APP-00138,SHA-CAP-026,system_of_record,Vendor and contract governance,340,medium
SHA-SFM-0062,APP-00139,SHA-CAP-027,supporting,Safety management system,930,medium
SHA-SFM-0063,APP-00140,SHA-CAP-028,supporting,DOT consumer obligations,6200,medium
SHA-SFM-0064,APP-00141,SHA-CAP-029,primary,Airport biometrics and identity,18500,high
SHA-SFM-0065,APP-00142,SHA-CAP-030,supporting,Premium lounge experience,780,medium
SHA-SFM-0066,APP-00143,SHA-CAP-031,system_of_record,Onboard retail and connectivity,132000,medium
SHA-SFM-0067,APP-00144,SHA-CAP-032,primary,Catering provisioning,340,medium
SHA-SFM-0068,APP-00145,SHA-CAP-033,supporting,Training and simulation,930,medium
SHA-SFM-0069,APP-00146,SHA-CAP-034,supporting,Treasury fuel hedging,6200,medium
SHA-SFM-0070,APP-00147,SHA-CAP-035,primary,Executive portfolio value management,18500,medium
SHA-SFM-0071,APP-00148,SHA-CAP-001,system_of_record,IROPS recovery decisioning,780,high
SHA-SFM-0072,APP-00149,SHA-CAP-002,supporting,Crew recovery and legality,132000,medium
